	S1-female-1	S1-female-2	S1-female-3	S1-male-1	S1-male-2	S10-female-1	S10-female-2	S10-Female-3	S10-male-1	S10-male-2-	S2-female-1	S2-female-2	S2-male-1	S2-male-2	S2014F_E2-2-A-F	S2014F_E2-2-B-F	S2014F_E2-2-C-F	S2014F_E2-3-A-F	S2014F_E2-3-B-F	S2014F_E2-3-C-F	S2014F_E5-2-A-F	S2014F_E5-2-A-F_plate2	S2014F_E5-2-B-F	S2014F_E5-3-B-F	S2014F_E5-3-C-F	S2014F_E5-C-2-F	S2014F_E7-1-A-F	S2014F_E7-2-C-F	S2014F_E7-3-A-F	S2014F_E7-3-B-F	S2014F_E7-3-C-F	S2014F_E9-2-A-F	S2014F_E9-2-B-F	S2014F_E9-2-C-F	S2014F_E9-3-A-F	S2014F_E9-3-B-F	S2014F_E9-3-C-F	S2014m_E2-1-A-F	S2014M_E2-1-A-M	S2014m_E2-1-B-F	S2014M_E2-1-B-M	S2014m_E2-1-C-F	S2014m_E2-1-C-M	S2014m_E2-2-A-M	S2014m_E2-2-B-M	S2014m_E2-2-C-M	S2014m_E2-3-A-M	S2014m_E2-3-B-M	S2014m_E2-3-C-M	S2014m_E5-1-A-F	S2014M_E5-1-A-M	S2014m_E5-1-B-F	S2014M_E5-1-B-M	S2014m_E5-1-C-F	S2014M_E5-1-C-M	S2014m_E5-2-A-M	S2014m_E5-2-B-M	S2014M_E5-2-C-M	S2014m_E5-3-A-M	S2014m_E5-3-B-M	S2014m_E5-3-C-M	S2014m_E7-1-A-M	S2014m_E7-1-B-F	S2014m_E7-1-B-M	S2014m_E7-1-C-F	S2014m_E7-1-C-M	S2014m_E7-2-A-F	S2014m_E7-2-A-M	S2014m_E7-2-B-F	S2014m_E7-2-B-M	S2014m_E7-2-C-M	S2014m_E7-3-A-M	S2014M_E7-3-B-M	S2014m_E7-3-C-M	S2014M_E9-1-A-M	S2014m_E9-1-B-F	S2014M_E9-1-B-M	S2014m_E9-1-C-F	S2014M_E9-1-C-M	S2014m_E9-2-B-M	S2014m_E9-2-C-M	S2014m_E9-3-A-M	S2014m_E9-3-B-M	S2014m_E9-3-C-M	S2014m_E9-A-1-F	S2017t1_E11-T1a-Female	S2017t1_E11-T1a-Male	S2017t1_E11-T1b-Female	S2017t1_E11-T1b-Male	S2017t1_E13-T1a-Female	S2017t1_E13-T1a-Male	S2017t1_E13-T1b-Female	S2017t1_E13-T1b-Male	S2017t1_E14-T1a-Female	S2017t1_E14-T1a-Male	S2017t1_E14-T1b-Female	S2017t1_E14-T1b-Male	S2017t1_E16-T1a-Female	S2017t1_E16-T1a-Male	S2017t1_E16-T1b-Female	S2017t1_E16-T1b-Male	S2017t1_E17-T1a-Female	S2017t1_E17-T1a-Male	S2017t1_E17-T1b-Female	S2017t1_E17-T1b-Male	S2017t1_E19-T1a-Female	S2017t1_E19-T1a-Male	S2017t1_E19-T1b-Female	S2017t1_E19-T1b-Male	S2017t1_E23-T1a-Female	S2017t1_E23-T1a-Male	S2017t1_E23-T1b-Female	S2017t1_E23-T1b-Male	S2017t1_E30-T1a-Female	S2017t1_E30-T1a-Male	S2017t1_E30-T1b-Female	S2017t1_E30-T1b-Male	S2017t2_E11-T2a-Male_C7D5_5f	S2017t2_E11-T2a-Male	S2017t2_E11-T2b-Female	S2017t2_E11-T2b-Male	S2017t2_E13-T2a-Female	S2017t2_E13-T2a-Male	S2017t2_E13-T2b-Female	S2017t2_E13-T2b-Male	S2017t2_E14-T2a-Female	S2017t2_E14-T2a-Male	S2017t2_E14-T2b-Female	S2017t2_E14-T2b-Male	S2017t2_E16-T2a-Female	S2017t2_E16-T2a-Male	S2017t2_E16-T2b-Female	S2017t2_E16-T2b-Male	S2017t2_E17-T2a-Female	S2017t2_E17-T2a-Male	S2017t2_E17-T2b-Female	S2017t2_E17-T2b-Male	S2017t2_E19-T2a-Female	S2017t2_E19-T2a-Male	S2017t2_E19-T2b-Female	S2017t2_E19-T2b-Male	S2017t2_E23-T2a-Female	S2017t2_E23-T2a-Male	S2017t2_E23-T2b-Female	S2017t2_E23-T2b-Male	S2017t2_E30-T2a-Female	S2017t2_E30-T2a-Male	S2017t2_E30-T2b-Female	S2017t2_E30-T2b-Male	S2017t3_E11-T3a-Female	S2017t3_E11-T3a-Male	S2017t3_E16-T3b-Female	S2017t3_E16-T3b-Male	S2017t3_E17-T3a-Female	S2017t3_E17-T3a-Male	S2017t3_E30-T3b-Female	S2017t3_E30-T3b-Male	S2017t3F_E11-T3b-Female	S2017t3F_E13-T3a-Female	S2017t3F_E13-T3b-Female	S2017t3F_E14-T3a-Female	S2017t3F_E14-T3b-Female	S2017t3F_E16-T3a-Female	S2017t3F_E17-T3b-Female	S2017t3F_E19-T3a-Female	S2017t3F_E19-T3b-Female	S2017t3F_E23-T3a-Female	S2017t3F_E23-T3b-Female	S2017t3F_E30-T3a-Female	S2017t3M_E11-T3b-Male	S2017t3M_E13-T3a-Male	S2017t3M_E14-T3a-Male	S2017t3M_E14-T3b-Male	S2017t3M_E16-T3a-Male	S2017t3M_E17-T3b-Male	S2017t3M_E19-T3a-Male	S2017t3M_E19-T3b-Male	S2017t3M_E23-T3a-Male	S2017t3M_E23-T3b-Male	S2017t3M_E30-T3a-Male	S3-female-1	S3-female-3	S3-male-1	S3-male-2	S3-male-3	S4-female-1	S4-female-2	S4-female-3	S4-male-1	S4-male-2	S4-male-3	S5-female-1	S5-female-2	S5-male-1	S5-male-2	S5-male-3	s6-Female-1	S6-female-2	S6-female-3	S6-male-1	S6-male-2	S6-male-3	S7-female-1	S7-female-2	S7-female-3	S7-male-1	S7-male-2	S7-male-3	S8-female-1	S8-female-2	S8-female-3	S8-male-1	S8-male-2	S8-male-3	S9-female-1	S9-female-2	S9-female-3	S9-male-1	S9-male-2
S2014M_E2-1-B-M	0.95	0.5	0.85	0.625	0.7	0.725	0.9	0.625	0.95	0.45	0.7	0.85	0.85	0.825	0.575	0.7	0.55	0.675	0.675	0.775	0.7	0.85	0.725	0.775	0.775	0.525	0.3	0.675	0.55	0.5	0.525	0.7	0.575	0.7	0.85	0.925	0.9	0.325	0.1	0.25	0.0	0.15	0.125	0.725	0.525	0.675	0.575	0.825	0.575	0.35	0.3	0.425	0.55	0.275	0.2	0.7	0.625	0.825	0.75	0.625	0.775	0.35	0.3	0.125	0.175	0.4	0.5	0.625	0.725	0.65	0.65	0.875	0.825	0.775	0.225	0.55	0.575	0.3	0.375	0.725	0.75	0.875	0.925	0.9	0.55	0.85	0.925	0.9	0.875	0.85	0.7	0.475	0.675	0.875	0.85	0.65	0.8	0.875	0.925	0.775	0.825	0.95	0.9	0.8	0.925	0.65	0.5	0.775	0.775	0.8	0.775	0.55	0.675	0.9	0.8	0.875	0.825	0.6	0.375	0.375	0.625	0.65	0.825	0.475	0.5	0.7	0.225	0.625	0.525	0.7	0.4	0.525	0.475	0.6	0.525	0.8	0.65	0.4	0.25	0.5	0.475	0.55	0.7	0.4	0.675	0.75	0.25	0.425	0.675	0.75	0.6	0.6	0.6	0.6	0.6	0.825	0.85	0.625	0.775	0.55	0.6	0.65	0.9	0.6	0.8	0.575	0.775	0.575	0.85	0.6	0.85	0.75	0.725	0.6	0.45	0.525	0.475	0.6	0.575	0.85	0.45	0.875	0.7	0.85	0.9	0.9	0.8	0.7	0.875	0.525	0.775	0.7	0.825	0.8	0.825	0.65	0.7	0.8	0.75	0.375	0.925	0.65	0.8	0.75	0.875	0.9	0.725	0.525	0.575	0.725	0.7	0.4	0.825	0.675	0.75	0.775	0.35	0.675	0.825
S2014m_E2-1-C-F	0.975	0.55	0.8	0.7	0.7	0.75	0.95	0.7	0.975	0.55	0.75	0.925	0.925	0.85	0.675	0.775	0.675	0.725	0.75	0.85	0.775	0.925	0.8	0.85	0.875	0.65	0.325	0.75	0.625	0.575	0.6	0.8	0.675	0.75	0.95	0.95	0.95	0.3	0.1	0.225	0.15	0.0	0.175	0.8	0.65	0.75	0.65	0.875	0.65	0.325	0.275	0.35	0.475	0.275	0.25	0.775	0.725	0.9	0.825	0.725	0.875	0.375	0.3	0.175	0.175	0.325	0.65	0.7	0.8	0.75	0.75	0.95	0.925	0.85	0.3	0.55	0.65	0.275	0.45	0.825	0.8	0.925	0.95	0.975	0.575	0.9	0.975	0.95	0.9	0.875	0.75	0.525	0.725	0.925	0.9	0.7	0.85	0.925	0.975	0.825	0.85	0.95	0.925	0.825	0.95	0.7	0.55	0.825	0.825	0.85	0.825	0.6	0.725	0.925	0.85	0.9	0.875	0.625	0.45	0.425	0.65	0.675	0.875	0.55	0.55	0.75	0.3	0.675	0.55	0.725	0.4	0.575	0.55	0.625	0.575	0.85	0.675	0.475	0.325	0.525	0.525	0.625	0.75	0.425	0.75	0.775	0.3	0.475	0.675	0.75	0.7	0.675	0.7	0.7	0.7	0.85	0.9	0.7	0.825	0.65	0.7	0.725	0.925	0.7	0.85	0.675	0.825	0.675	0.875	0.7	0.85	0.8	0.775	0.7	0.6	0.575	0.575	0.7	0.675	0.9	0.45	0.925	0.75	0.925	0.95	0.925	0.8	0.75	0.925	0.575	0.85	0.75	0.875	0.85	0.9	0.725	0.75	0.9	0.8	0.45	0.95	0.725	0.825	0.825	0.95	0.95	0.775	0.6	0.575	0.775	0.775	0.475	0.925	0.75	0.8	0.85	0.4	0.75	0.9
S2014m_E2-1-C-M	1.0	0.525	0.85	0.675	0.7	0.75	0.925	0.7	0.925	0.5	0.75	0.9	0.925	0.85	0.6	0.775	0.625	0.65	0.75	0.875	0.8	0.925	0.85	0.85	0.875	0.6	0.325	0.75	0.6	0.6	0.625	0.8	0.6	0.75	0.95	0.95	1.0	0.325	0.1	0.25	0.125	0.175	0.0	0.8	0.625	0.75	0.65	0.875	0.625	0.425	0.225	0.425	0.525	0.25	0.2	0.8	0.75	0.95	0.825	0.75	0.875	0.3	0.275	0.075	0.125	0.425	0.575	0.675	0.775	0.75	0.75	0.95	0.925	0.85	0.225	0.65	0.6	0.375	0.4	0.825	0.825	0.925	1.0	0.95	0.6	0.875	0.95	0.925	0.925	0.85	0.725	0.5	0.7	0.9	0.9	0.675	0.825	0.9	0.95	0.825	0.875	0.95	0.875	0.825	0.9	0.675	0.525	0.825	0.8	0.825	0.8	0.575	0.7	0.925	0.825	0.925	0.85	0.6	0.4	0.425	0.625	0.675	0.875	0.525	0.5	0.725	0.25	0.675	0.575	0.75	0.4	0.55	0.5	0.65	0.55	0.825	0.7	0.45	0.325	0.575	0.525	0.625	0.775	0.45	0.775	0.75	0.275	0.45	0.7	0.75	0.6	0.65	0.625	0.625	0.6	0.875	0.875	0.65	0.825	0.575	0.625	0.625	0.9	0.6	0.825	0.6	0.8	0.6	0.825	0.6	0.875	0.8	0.75	0.6	0.575	0.55	0.525	0.6	0.575	0.875	0.4	0.925	0.725	0.9	0.975	0.875	0.8	0.775	0.9	0.55	0.825	0.725	0.85	0.85	0.9	0.7	0.775	0.9	0.775	0.425	0.9	0.725	0.8	0.825	0.975	0.925	0.775	0.575	0.575	0.775	0.75	0.45	0.95	0.75	0.8	0.85	0.35	0.725	0.9
S2014m_E2-2-A-M	0.95	0.5	0.85	0.75	0.975	0.975	0.6	0.625	0.85	0.7	0.775	0.5	0.8	0.975	0.7	0.3	0.3	0.85	0.65	0.775	0.475	0.45	0.45	0.475	0.325	0.575	0.6	0.55	0.65	0.725	0.625	0.275	0.675	0.55	0.725	0.925	0.8	0.85	0.825	0.8	0.725	0.8	0.8	0.0	0.4	0.25	0.35	0.4	0.55	0.85	0.775	0.925	0.8	0.75	0.825	0.25	0.45	0.675	0.375	0.425	0.4	0.7	0.825	0.825	0.85	0.8	0.55	0.375	0.475	0.375	0.4	0.775	0.4	0.7	0.75	0.425	0.775	0.7	0.575	0.45	0.675	0.575	0.775	0.9	0.5	0.775	0.725	0.775	0.675	0.825	0.675	0.775	0.725	0.65	0.725	0.625	0.775	0.725	0.7	0.9	0.9	0.975	0.9	0.925	0.875	0.725	0.6	0.75	0.725	0.775	0.725	0.775	0.75	0.925	0.775	0.85	0.725	0.875	0.8	0.775	0.775	0.925	0.775	0.75	0.825	0.625	0.75	0.85	0.7	0.775	0.8	0.75	0.8	0.75	0.6	0.775	0.725	0.6	0.575	0.675	0.6	0.6	0.75	0.725	0.575	0.8	0.725	0.675	0.825	0.875	0.675	0.725	0.825	0.8	0.75	0.775	0.675	0.85	0.8	0.775	0.75	0.85	0.9	0.75	0.625	0.725	0.575	0.775	0.8	0.775	0.85	0.725	0.375	0.725	0.575	0.7	0.75	0.55	0.55	0.775	0.975	0.925	0.525	0.8	0.75	0.925	0.975	0.925	0.55	0.95	0.65	0.85	0.525	0.775	0.475	0.65	0.925	0.3	0.9	0.625	0.85	0.725	0.875	0.475	0.725	0.775	0.675	0.575	0.975	0.85	0.675	0.875	0.525	0.575	0.9	0.8	0.7	0.825	0.3
S2014m_E2-2-B-M	0.85	0.675	0.9	0.625	0.925	0.9	0.625	0.875	0.875	0.475	0.775	0.675	0.7	0.85	0.5	0.4	0.4	0.625	0.575	0.7	0.6	0.725	0.625	0.55	0.525	0.375	0.575	0.65	0.6	0.6	0.475	0.45	0.525	0.6	0.875	0.9	0.725	0.575	0.575	0.725	0.525	0.65	0.625	0.4	0.0	0.375	0.35	0.575	0.35	0.8	0.825	0.85	0.9	0.775	0.55	0.525	0.575	0.825	0.575	0.5	0.575	0.775	0.725	0.625	0.625	0.7	0.425	0.375	0.55	0.575	0.65	0.775	0.625	0.7	0.575	0.625	0.575	0.65	0.4	0.6	0.775	0.875	0.775	0.825	0.375	0.75	0.675	0.8	0.6	0.85	0.725	0.8	0.75	0.675	0.75	0.65	0.8	0.75	0.675	0.825	0.8	0.875	0.875	0.85	0.875	0.725	0.6	0.675	0.775	0.8	0.75	0.8	0.8	0.85	0.8	0.75	0.7	0.9	0.575	0.8	0.75	0.95	0.8	0.825	0.6	0.75	0.525	0.875	0.575	0.75	0.8	0.675	0.575	0.625	0.5	0.825	0.575	0.675	0.65	0.625	0.6	0.55	0.75	0.75	0.775	0.925	0.625	0.775	0.75	0.75	0.475	0.45	0.6	0.6	0.575	0.775	0.75	0.6	0.825	0.575	0.55	0.65	0.925	0.575	0.75	0.525	0.7	0.575	0.85	0.575	0.85	0.75	0.55	0.575	0.425	0.8	0.55	0.45	0.4	0.825	0.9	0.825	0.7	0.9	0.9	0.875	0.925	0.85	0.675	0.85	0.9	0.8	0.625	0.725	0.55	0.8	0.8	0.475	0.925	0.675	0.925	0.9	0.85	0.6	0.9	0.725	0.6	0.825	0.875	0.775	0.9	0.8	0.525	0.8	0.8	0.875	0.875	0.8	0.65
S2014m_E2-2-C-M	0.875	0.675	0.85	0.675	0.975	0.925	0.625	0.55	0.825	0.65	0.725	0.7	0.725	0.9	0.65	0.325	0.35	0.825	0.65	0.75	0.3	0.425	0.4	0.6	0.475	0.55	0.55	0.625	0.575	0.675	0.575	0.25	0.65	0.55	0.775	0.875	0.8	0.775	0.775	0.75	0.675	0.75	0.75	0.25	0.375	0.0	0.4	0.6	0.575	0.8	0.775	0.85	0.825	0.725	0.725	0.425	0.3	0.575	0.575	0.325	0.6	0.7	0.75	0.75	0.75	0.7	0.575	0.525	0.525	0.425	0.45	0.75	0.525	0.675	0.7	0.475	0.725	0.625	0.525	0.425	0.675	0.55	0.775	0.825	0.5	0.7	0.675	0.75	0.7	0.8	0.65	0.75	0.7	0.625	0.7	0.625	0.75	0.7	0.65	0.825	0.825	0.9	0.825	0.85	0.825	0.675	0.65	0.675	0.7	0.75	0.7	0.75	0.725	0.85	0.75	0.775	0.65	0.875	0.75	0.775	0.725	0.925	0.775	0.775	0.775	0.675	0.7	0.85	0.65	0.75	0.8	0.7	0.75	0.65	0.55	0.775	0.675	0.625	0.525	0.625	0.55	0.55	0.725	0.675	0.525	0.85	0.675	0.7	0.775	0.825	0.6	0.6	0.775	0.75	0.7	0.775	0.675	0.8	0.8	0.725	0.7	0.8	0.9	0.7	0.675	0.675	0.65	0.725	0.775	0.7	0.85	0.725	0.55	0.675	0.525	0.725	0.7	0.55	0.525	0.775	0.975	0.85	0.7	0.85	0.65	0.85	0.975	0.925	0.675	0.875	0.575	0.775	0.65	0.7	0.6	0.625	0.85	0.4	0.9	0.725	0.9	0.625	0.825	0.5	0.625	0.7	0.6	0.5	0.925	0.8	0.575	0.8	0.6	0.475	0.825	0.8	0.75	0.775	0.375
S2014m_E2-3-A-M	0.95	0.6	0.85	0.75	0.975	0.975	0.575	0.775	0.85	0.55	0.775	0.575	0.8	0.975	0.575	0.35	0.325	0.675	0.575	0.8	0.6	0.525	0.65	0.575	0.5	0.425	0.625	0.55	0.575	0.575	0.4	0.275	0.525	0.45	0.6	0.75	0.625	0.7	0.675	0.7	0.575	0.65	0.65	0.35	0.35	0.4	0.0	0.475	0.425	0.85	0.775	0.9	0.8	0.75	0.675	0.525	0.55	0.825	0.475	0.525	0.475	0.7	0.825	0.675	0.7	0.775	0.45	0.375	0.55	0.475	0.575	0.625	0.425	0.6	0.575	0.5	0.6	0.625	0.4	0.45	0.7	0.575	0.625	0.725	0.35	0.775	0.7	0.775	0.725	0.825	0.65	0.775	0.725	0.65	0.725	0.6	0.775	0.7	0.7	0.9	0.9	0.975	0.9	0.925	0.875	0.7	0.65	0.75	0.725	0.75	0.7	0.75	0.725	0.925	0.75	0.85	0.725	0.85	0.65	0.775	0.7	0.925	0.775	0.75	0.675	0.625	0.6	0.85	0.575	0.775	0.8	0.625	0.65	0.675	0.45	0.775	0.575	0.575	0.575	0.625	0.5	0.425	0.725	0.725	0.725	0.8	0.575	0.65	0.75	0.75	0.525	0.575	0.675	0.65	0.6	0.775	0.675	0.7	0.775	0.625	0.6	0.675	0.9	0.6	0.625	0.575	0.6	0.625	0.8	0.625	0.85	0.725	0.45	0.575	0.45	0.7	0.6	0.4	0.4	0.775	0.975	0.925	0.6	0.8	0.9	0.9	0.975	0.925	0.625	0.95	0.8	0.85	0.625	0.75	0.575	0.775	0.925	0.525	0.9	0.675	0.85	0.875	0.875	0.575	0.875	0.775	0.65	0.725	0.975	0.85	0.825	0.875	0.6	0.725	0.9	0.8	0.75	0.825	0.5
S2014m_E2-3-B-M	0.925	0.425	0.8	0.7	0.95	0.925	0.55	0.8	0.825	0.775	0.725	0.2	0.75	0.925	0.775	0.45	0.625	0.925	0.775	0.775	0.75	0.575	0.725	0.4	0.375	0.675	0.65	0.6	0.7	0.85	0.7	0.525	0.775	0.525	0.775	0.875	0.75	0.9	0.9	0.875	0.825	0.875	0.875	0.4	0.575	0.6	0.475	0.0	0.65	0.8	0.85	0.875	0.825	0.775	0.875	0.475	0.725	0.875	0.325	0.725	0.3	0.65	0.85	0.875	0.9	0.85	0.7	0.45	0.65	0.675	0.675	0.7	0.525	0.85	0.8	0.6	0.85	0.75	0.625	0.575	0.85	0.725	0.75	0.85	0.575	0.7	0.675	0.7	0.6	0.775	0.6	0.725	0.675	0.575	0.675	0.55	0.725	0.65	0.675	0.825	0.85	0.925	0.85	0.875	0.825	0.65	0.525	0.7	0.675	0.7	0.65	0.7	0.675	0.875	0.7	0.8	0.675	0.875	0.875	0.85	0.85	0.9	0.85	0.725	0.9	0.6	0.825	0.825	0.775	0.725	0.775	0.825	0.875	0.8	0.675	0.75	0.825	0.65	0.775	0.75	0.65	0.7	0.825	0.9	0.775	0.775	0.8	0.75	0.9	0.975	0.75	0.8	0.925	0.9	0.8	0.875	0.725	0.95	0.825	0.85	0.85	0.875	0.95	0.85	0.7	0.8	0.6	0.85	0.85	0.85	0.925	0.75	0.375	0.825	0.725	0.775	0.825	0.65	0.65	0.8	0.95	0.875	0.225	0.8	0.95	0.85	0.95	0.925	0.225	0.9	0.825	0.8	0.425	0.7	0.275	0.775	0.875	0.45	0.875	0.6	0.825	0.9	0.825	0.55	0.925	0.75	0.7	0.8	0.925	0.8	0.85	0.825	0.525	0.8	0.85	0.8	0.775	0.8	0.45
S2014m_E2-3-C-M	0.95	0.75	0.975	0.8	0.975	0.975	0.725	0.925	0.975	0.525	0.875	0.7	0.825	0.975	0.35	0.525	0.425	0.425	0.575	0.8	0.675	0.75	0.625	0.65	0.65	0.35	0.675	0.675	0.65	0.65	0.55	0.575	0.4	0.675	0.925	0.95	0.825	0.475	0.6	0.75	0.575	0.65	0.625	0.55	0.35	0.575	0.425	0.65	0.0	0.875	0.85	0.95	0.9	0.825	0.575	0.55	0.625	0.875	0.65	0.55	0.675	0.825	0.85	0.675	0.7	0.8	0.4	0.45	0.65	0.625	0.7	0.85	0.725	0.825	0.4	0.675	0.35	0.7	0.325	0.75	0.8	0.875	0.775	0.95	0.425	0.85	0.75	0.9	0.75	0.95	0.775	0.9	0.85	0.775	0.85	0.7	0.9	0.825	0.775	0.925	0.9	0.975	0.975	0.95	0.975	0.8	0.725	0.775	0.8	0.875	0.8	0.85	0.825	0.95	0.875	0.85	0.8	0.9	0.575	0.8	0.75	0.95	0.8	0.85	0.525	0.75	0.525	0.875	0.575	0.775	0.8	0.675	0.375	0.675	0.5	0.825	0.575	0.7	0.675	0.625	0.625	0.55	0.75	0.775	0.8	0.925	0.625	0.775	0.75	0.75	0.35	0.525	0.6	0.4	0.525	0.775	0.75	0.45	0.775	0.475	0.35	0.625	0.925	0.375	0.75	0.325	0.7	0.475	0.875	0.4	0.85	0.75	0.6	0.575	0.475	0.8	0.35	0.35	0.3	0.825	0.975	0.95	0.7	0.95	0.95	0.95	0.975	0.95	0.7	0.975	0.95	0.9	0.75	0.75	0.725	0.95	0.925	0.7	0.95	0.75	0.975	0.95	0.975	0.675	0.95	0.85	0.675	0.875	0.975	0.875	0.95	0.925	0.675	0.85	0.925	0.9	0.925	0.95	0.7
S2014m_E5-1-A-F	0.9	0.45	0.55	0.55	0.7	0.625	0.825	0.625	0.9	0.725	0.65	0.825	0.775	0.75	0.85	0.8	0.85	0.975	0.775	0.75	0.775	0.825	0.75	0.775	0.75	0.75	0.3	0.75	0.6	0.75	0.7	0.825	0.875	0.7	0.875	0.875	0.875	0.475	0.35	0.325	0.35	0.325	0.425	0.85	0.8	0.8	0.85	0.8	0.875	0.0	0.35	0.25	0.375	0.275	0.375	0.75	0.75	0.85	0.8	0.75	0.775	0.3	0.3	0.35	0.375	0.325	0.75	0.75	0.725	0.775	0.75	0.775	0.775	0.85	0.55	0.475	0.85	0.25	0.6	0.7	0.875	0.925	0.9	0.825	0.575	0.775	0.85	0.8	0.8	0.775	0.625	0.375	0.575	0.8	0.8	0.575	0.725	0.775	0.85	0.725	0.75	0.875	0.825	0.725	0.85	0.55	0.425	0.7	0.7	0.75	0.7	0.475	0.575	0.85	0.725	0.8	0.75	0.65	0.675	0.475	0.8	0.65	0.875	0.45	0.8	0.675	0.5	0.65	0.725	0.625	0.375	0.75	0.775	0.7	0.75	0.775	0.875	0.5	0.45	0.65	0.625	0.825	0.85	0.575	0.725	0.75	0.475	0.55	0.825	0.95	0.85	0.8	0.875	0.9	0.875	0.9	0.875	0.9	0.85	0.85	0.85	0.925	0.925	0.875	0.85	0.825	0.825	0.875	0.9	0.85	0.925	0.75	0.825	0.875	0.775	0.6	0.8	0.875	0.85	0.875	0.425	0.8	0.675	0.85	0.9	0.85	0.8	0.725	0.825	0.475	0.8	0.625	0.75	0.725	0.775	0.6	0.6	0.725	0.675	0.3	0.925	0.625	0.675	0.725	0.9	0.825	0.75	0.55	0.525	0.65	0.7	0.35	0.75	0.725	0.7	0.825	0.375	0.65	0.85
S2014M_E5-1-A-M	1.0	0.5	0.75	0.65	0.7	0.725	0.9	0.65	0.9	0.7	0.725	0.85	0.9	0.825	0.825	0.775	0.8	0.875	0.825	0.85	0.825	0.9	0.825	0.825	0.825	0.75	0.275	0.725	0.625	0.725	0.725	0.775	0.8	0.725	0.9	0.95	1.0	0.475	0.25	0.275	0.3	0.275	0.225	0.775	0.825	0.775	0.775	0.85	0.85	0.35	0.0	0.375	0.45	0.075	0.35	0.8	0.775	0.925	0.8	0.825	0.825	0.25	0.15	0.225	0.225	0.4	0.75	0.775	0.75	0.775	0.725	0.9	0.875	0.825	0.45	0.55	0.8	0.35	0.525	0.775	0.825	0.9	1.0	0.925	0.7	0.85	0.95	0.9	0.925	0.825	0.7	0.475	0.675	0.875	0.875	0.65	0.8	0.875	0.925	0.825	0.875	0.95	0.85	0.825	0.875	0.65	0.525	0.825	0.775	0.8	0.775	0.55	0.675	0.925	0.8	0.925	0.825	0.6	0.625	0.425	0.7	0.675	0.875	0.475	0.725	0.7	0.475	0.675	0.7	0.75	0.4	0.675	0.725	0.725	0.7	0.825	0.85	0.425	0.4	0.625	0.575	0.75	0.8	0.5	0.775	0.725	0.425	0.45	0.775	0.875	0.825	0.85	0.825	0.85	0.825	0.875	0.85	0.85	0.825	0.8	0.85	0.85	0.9	0.825	0.8	0.825	0.775	0.825	0.8	0.825	0.875	0.8	0.75	0.8	0.75	0.525	0.75	0.8	0.775	0.875	0.375	0.9	0.7	0.85	0.95	0.875	0.8	0.75	0.875	0.525	0.775	0.725	0.825	0.85	0.85	0.65	0.75	0.85	0.75	0.4	0.875	0.7	0.725	0.825	0.95	0.9	0.775	0.525	0.575	0.775	0.7	0.425	0.925	0.7	0.775	0.825	0.3	0.675	0.875
S2014m_E5-1-B-F	0.8	0.525	0.7	0.5	0.7	0.7	0.75	0.7	0.75	0.8	0.55	0.925	0.7	0.65	0.9	0.8	0.925	0.975	0.875	0.7	0.85	0.875	0.9	0.9	0.825	0.875	0.325	0.85	0.75	0.825	0.85	0.9	0.875	0.7	0.975	0.85	0.9	0.525	0.4	0.4	0.425	0.35	0.425	0.925	0.85	0.85	0.9	0.875	0.95	0.25	0.375	0.0	0.475	0.35	0.4	0.825	0.9	0.95	0.85	0.875	0.9	0.375	0.275	0.4	0.4	0.3	0.875	0.9	0.875	0.9	0.875	0.9	0.925	0.925	0.575	0.65	0.9	0.45	0.7	0.775	0.9	0.925	0.975	0.85	0.8	0.7	0.75	0.7	0.7	0.625	0.65	0.325	0.575	0.7	0.7	0.525	0.625	0.675	0.75	0.6	0.65	0.7	0.65	0.575	0.675	0.45	0.375	0.6	0.775	0.625	0.65	0.375	0.6	0.7	0.625	0.7	0.65	0.6	0.7	0.5	0.8	0.65	0.925	0.525	0.8	0.725	0.55	0.675	0.775	0.675	0.425	0.775	0.8	0.75	0.8	0.825	0.925	0.575	0.5	0.7	0.65	0.875	0.875	0.55	0.775	0.75	0.525	0.575	0.825	0.925	0.9	0.825	0.9	0.925	0.925	0.95	0.925	0.925	0.875	0.875	0.9	0.9	0.9	0.925	0.9	0.875	0.875	0.9	0.875	0.875	0.925	0.8	0.875	0.925	0.85	0.625	0.825	0.925	0.9	0.925	0.475	0.7	0.75	0.925	0.975	0.7	0.8	0.775	0.9	0.375	0.825	0.525	0.825	0.775	0.825	0.625	0.55	0.825	0.775	0.45	0.925	0.675	0.575	0.8	0.975	0.75	0.75	0.625	0.525	0.725	0.775	0.275	0.825	0.8	0.6	0.875	0.425	0.55	0.925
